epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,346.405,0.68458,0.38246,0.92765,0.99371,1,0.99441,0.85579,0.64886,0.31926,0.89861,0.0011486,0.0011486,0.0011486
45,353.822,0.67844,0.38388,0.92661,0.99961,1,0.995,0.84789,0.63257,0.31688,0.88396,0.0011288,0.0011288,0.0011288
46,361.601,0.65072,0.38043,0.91899,0.99963,1,0.995,0.8509,0.61344,0.30314,0.87594,0.001109,0.001109,0.001109
47,369.745,0.66437,0.37618,0.92,0.99961,1,0.995,0.84827,0.61313,0.3033,0.88326,0.0010892,0.0010892,0.0010892
48,377.156,0.65101,0.37044,0.92047,0.99927,1,0.995,0.85348,0.63129,0.31276,0.90252,0.0010694,0.0010694,0.0010694
49,384.792,0.66531,0.37667,0.92218,0.99959,1,0.995,0.84379,0.65353,0.31849,0.89507,0.0010496,0.0010496,0.0010496
50,392.826,0.67555,0.37907,0.93043,0.99368,1,0.9947,0.84173,0.65539,0.31072,0.89995,0.0010298,0.0010298,0.0010298
51,400.433,0.67096,0.37356,0.92618,0.99375,1,0.99435,0.86257,0.59749,0.28875,0.88374,0.00101,0.00101,0.00101
52,408.089,0.68274,0.37765,0.92067,0.99837,1,0.995,0.86052,0.63929,0.3008,0.9045,0.0009902,0.0009902,0.0009902
53,415.682,0.66142,0.36855,0.91711,0.99326,1,0.99476,0.85419,0.60283,0.29976,0.89667,0.0009704,0.0009704,0.0009704
54,423.774,0.64303,0.36577,0.92148,0.99959,1,0.995,0.86216,0.61402,0.30654,0.8813,0.0009506,0.0009506,0.0009506
55,431.62,0.63165,0.36178,0.913,0.99959,1,0.995,0.85929,0.60995,0.2974,0.88081,0.0009308,0.0009308,0.0009308
56,439.003,0.63604,0.35922,0.91341,0.99959,1,0.995,0.85581,0.60031,0.3053,0.87404,0.000911,0.000911,0.000911
57,446.627,0.63511,0.36459,0.91401,0.99961,1,0.995,0.85824,0.61493,0.29452,0.88302,0.0008912,0.0008912,0.0008912
58,454.537,0.64548,0.37053,0.91723,0.99401,1,0.995,0.85211,0.63441,0.3078,0.89232,0.0008714,0.0008714,0.0008714
59,462.203,0.62935,0.35737,0.91765,0.99961,1,0.995,0.8618,0.61994,0.29452,0.88582,0.0008516,0.0008516,0.0008516
60,469.761,0.64191,0.35598,0.91332,0.99912,1,0.995,0.85757,0.62013,0.29283,0.88267,0.0008318,0.0008318,0.0008318
61,477.648,0.63279,0.35129,0.91008,0.99963,1,0.995,0.86932,0.60829,0.29839,0.87903,0.000812,0.000812,0.000812
62,485.525,0.6376,0.35389,0.91953,0.99937,1,0.995,0.86479,0.62393,0.30487,0.88298,0.0007922,0.0007922,0.0007922
63,493.167,0.63788,0.35477,0.92011,0.99962,1,0.995,0.87448,0.6044,0.29309,0.89037,0.0007724,0.0007724,0.0007724
64,500.863,0.62514,0.34405,0.91019,0.9996,1,0.995,0.87877,0.58634,0.28801,0.87181,0.0007526,0.0007526,0.0007526
65,508.584,0.6126,0.33603,0.90292,0.99661,1,0.995,0.87615,0.59492,0.28539,0.88962,0.0007328,0.0007328,0.0007328
66,516.671,0.61354,0.33812,0.9029,0.99902,1,0.995,0.87318,0.61221,0.29853,0.88144,0.000713,0.000713,0.000713
67,524.227,0.60695,0.34388,0.90097,0.99964,1,0.995,0.87319,0.61471,0.28975,0.8694,0.0006932,0.0006932,0.0006932
68,531.835,0.61546,0.33806,0.90847,0.99962,1,0.995,0.8686,0.59569,0.2693,0.86842,0.0006734,0.0006734,0.0006734
69,539.415,0.58956,0.32175,0.90772,0.99961,1,0.995,0.86976,0.61513,0.27734,0.86965,0.0006536,0.0006536,0.0006536
70,547.262,0.5974,0.32574,0.90214,0.99965,1,0.995,0.87531,0.60366,0.27852,0.86938,0.0006338,0.0006338,0.0006338
71,554.974,0.61852,0.34122,0.90916,0.99965,1,0.995,0.87027,0.58741,0.26897,0.87203,0.000614,0.000614,0.000614
72,562.492,0.60157,0.33446,0.89866,0.99965,1,0.995,0.87193,0.5987,0.27095,0.87361,0.0005942,0.0005942,0.0005942
73,570.157,0.59071,0.32361,0.89723,0.99965,1,0.995,0.87587,0.58852,0.26846,0.86439,0.0005744,0.0005744,0.0005744
74,578.177,0.57894,0.31763,0.89829,0.99964,1,0.995,0.8572,0.60969,0.27291,0.86626,0.0005546,0.0005546,0.0005546
75,585.797,0.58253,0.31924,0.90309,0.99966,1,0.995,0.87539,0.60531,0.26582,0.8843,0.0005348,0.0005348,0.0005348
76,593.45,0.60237,0.33503,0.91763,0.99376,1,0.99494,0.88195,0.57058,0.27028,0.86511,0.000515,0.000515,0.000515
77,601.217,0.57822,0.32307,0.8943,0.9997,1,0.995,0.87738,0.60991,0.26772,0.86928,0.0004952,0.0004952,0.0004952
78,608.922,0.56925,0.32081,0.88863,0.99967,1,0.995,0.87998,0.58438,0.26505,0.86651,0.0004754,0.0004754,0.0004754
79,616.579,0.57508,0.31994,0.89961,0.99966,1,0.995,0.86864,0.57218,0.26853,0.86623,0.0004556,0.0004556,0.0004556
80,624.314,0.57815,0.32034,0.89605,0.99964,1,0.995,0.87206,0.58508,0.26425,0.86312,0.0004358,0.0004358,0.0004358
81,632.503,0.57344,0.31669,0.89893,0.99963,1,0.995,0.87521,0.57417,0.26293,0.86468,0.000416,0.000416,0.000416
82,640.16,0.56948,0.3128,0.89233,0.99964,1,0.995,0.87647,0.5921,0.26042,0.86523,0.0003962,0.0003962,0.0003962
83,648.121,0.58097,0.30926,0.90606,0.99968,1,0.995,0.8836,0.57766,0.25368,0.86247,0.0003764,0.0003764,0.0003764
84,655.644,0.58803,0.31212,0.89887,0.99967,1,0.995,0.88568,0.58852,0.26358,0.86535,0.0003566,0.0003566,0.0003566
85,663.79,0.56291,0.31285,0.90121,0.99967,1,0.995,0.88061,0.57176,0.25391,0.86563,0.0003368,0.0003368,0.0003368
86,671.449,0.54729,0.30347,0.88996,0.99967,1,0.995,0.88466,0.56171,0.24178,0.86345,0.000317,0.000317,0.000317
87,679.023,0.5609,0.30616,0.89708,0.99968,1,0.995,0.87841,0.57804,0.26136,0.86372,0.0002972,0.0002972,0.0002972
88,686.832,0.55381,0.30101,0.89,0.99969,1,0.995,0.87315,0.58156,0.25323,0.86524,0.0002774,0.0002774,0.0002774
89,694.478,0.56099,0.30666,0.89677,0.99969,1,0.995,0.86963,0.59797,0.26706,0.87464,0.0002576,0.0002576,0.0002576
90,702.182,0.56346,0.30136,0.89617,0.99968,1,0.995,0.87169,0.60118,0.26115,0.87213,0.0002378,0.0002378,0.0002378
91,712.923,0.52946,0.27388,0.86475,0.99898,1,0.995,0.8678,0.58758,0.26295,0.87944,0.000218,0.000218,0.000218
92,720.065,0.49771,0.25735,0.85511,0.99966,1,0.995,0.87729,0.56305,0.25863,0.86104,0.0001982,0.0001982,0.0001982
93,727.521,0.48526,0.24962,0.85833,0.99967,1,0.995,0.87223,0.57213,0.24841,0.871,0.0001784,0.0001784,0.0001784
94,734.829,0.48313,0.24725,0.86268,0.99964,1,0.995,0.88403,0.56797,0.24724,0.86763,0.0001586,0.0001586,0.0001586
95,742.268,0.47143,0.24395,0.86122,0.99966,1,0.995,0.88209,0.55599,0.2509,0.87002,0.0001388,0.0001388,0.0001388
96,749.647,0.47581,0.24674,0.85921,0.99964,1,0.995,0.87559,0.56542,0.25194,0.86863,0.000119,0.000119,0.000119
97,757.029,0.47886,0.24806,0.8483,0.99964,1,0.995,0.88914,0.56393,0.2452,0.86654,9.92e-05,9.92e-05,9.92e-05
98,764.172,0.45931,0.2348,0.85054,0.99964,1,0.995,0.88666,0.56632,0.24504,0.86662,7.94e-05,7.94e-05,7.94e-05
99,771.658,0.47522,0.24437,0.85093,0.99965,1,0.995,0.88958,0.56797,0.24423,0.86529,5.96e-05,5.96e-05,5.96e-05
100,779.093,0.46238,0.23631,0.85825,0.99965,1,0.995,0.88948,0.55828,0.24239,0.86416,3.98e-05,3.98e-05,3.98e-05
