epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,360.474,0.67694,0.38484,0.92219,0.99377,1,0.99482,0.85991,0.64259,0.31022,0.90928,0.0011486,0.0011486,0.0011486
45,368.188,0.69418,0.39935,0.92475,0.99357,1,0.99459,0.86052,0.60807,0.30953,0.8726,0.0011288,0.0011288,0.0011288
46,375.801,0.66271,0.38059,0.9209,0.99367,1,0.99435,0.85515,0.61923,0.29591,0.87544,0.001109,0.001109,0.001109
47,384.177,0.66441,0.37015,0.91947,0.99962,1,0.995,0.8561,0.61209,0.29545,0.87488,0.0010892,0.0010892,0.0010892
48,392.269,0.68579,0.38588,0.92913,0.99963,1,0.995,0.86879,0.60528,0.29469,0.87285,0.0010694,0.0010694,0.0010694
49,399.609,0.66565,0.37698,0.91956,0.99963,1,0.995,0.86408,0.61319,0.29798,0.87848,0.0010496,0.0010496,0.0010496
50,407.183,0.66042,0.36344,0.92658,0.99951,1,0.995,0.8664,0.59943,0.28773,0.87919,0.0010298,0.0010298,0.0010298
51,414.662,0.66113,0.37149,0.92119,0.99953,1,0.995,0.8684,0.60456,0.31759,0.89203,0.00101,0.00101,0.00101
52,423.024,0.65181,0.36193,0.91731,0.99366,1,0.995,0.87642,0.59056,0.28176,0.86333,0.0009902,0.0009902,0.0009902
53,430.007,0.63925,0.36437,0.91696,0.9996,1,0.995,0.86444,0.61229,0.30401,0.87355,0.0009704,0.0009704,0.0009704
54,437.52,0.6387,0.35986,0.91761,0.99962,1,0.995,0.8502,0.61754,0.29659,0.87046,0.0009506,0.0009506,0.0009506
55,445.253,0.635,0.36045,0.90737,0.99965,1,0.995,0.87259,0.60625,0.28584,0.87341,0.0009308,0.0009308,0.0009308
56,452.966,0.6404,0.35682,0.91782,0.99963,1,0.995,0.86867,0.60415,0.28573,0.88156,0.000911,0.000911,0.000911
57,460.39,0.63505,0.3587,0.91802,0.99957,1,0.995,0.8623,0.57688,0.29336,0.8705,0.0008912,0.0008912,0.0008912
58,467.797,0.65819,0.35963,0.92254,0.99973,1,0.995,0.86118,0.59534,0.30022,0.88163,0.0008714,0.0008714,0.0008714
59,475.354,0.65537,0.36067,0.91604,0.99962,1,0.995,0.85645,0.61492,0.30478,0.88437,0.0008516,0.0008516,0.0008516
60,483.209,0.64095,0.35071,0.91499,0.99756,1,0.995,0.87407,0.58238,0.2857,0.87107,0.0008318,0.0008318,0.0008318
61,490.805,0.60212,0.34923,0.90299,0.9996,1,0.995,0.87689,0.58118,0.28059,0.87633,0.000812,0.000812,0.000812
62,498.006,0.63336,0.35535,0.91537,0.99963,1,0.995,0.84943,0.5848,0.28622,0.88408,0.0007922,0.0007922,0.0007922
63,505.42,0.62704,0.35202,0.91423,0.99711,1,0.995,0.87552,0.5922,0.28099,0.87865,0.0007724,0.0007724,0.0007724
64,513.295,0.6176,0.34756,0.90966,0.99963,1,0.995,0.87391,0.57103,0.27307,0.86563,0.0007526,0.0007526,0.0007526
65,520.454,0.63078,0.3468,0.91126,0.9937,1,0.99494,0.85184,0.60484,0.2812,0.88012,0.0007328,0.0007328,0.0007328
66,527.825,0.62452,0.34606,0.90235,0.99381,1,0.995,0.8717,0.57685,0.28884,0.86716,0.000713,0.000713,0.000713
67,535.788,0.64415,0.35311,0.91416,0.99965,1,0.995,0.87733,0.5976,0.27665,0.87488,0.0006932,0.0006932,0.0006932
68,543.029,0.6005,0.32993,0.90283,0.99969,1,0.995,0.87498,0.58606,0.26957,0.87131,0.0006734,0.0006734,0.0006734
69,550.972,0.5974,0.32976,0.91432,0.99979,1,0.995,0.88478,0.56916,0.26841,0.87198,0.0006536,0.0006536,0.0006536
70,557.865,0.61633,0.33864,0.90712,0.99963,1,0.995,0.89706,0.55201,0.25299,0.86525,0.0006338,0.0006338,0.0006338
71,565.756,0.60458,0.33273,0.89992,0.99368,1,0.995,0.8814,0.57063,0.27292,0.87227,0.000614,0.000614,0.000614
72,573.126,0.58293,0.33235,0.89793,0.99962,1,0.995,0.87183,0.57959,0.25917,0.86871,0.0005942,0.0005942,0.0005942
73,581.023,0.58312,0.32675,0.90419,0.99958,1,0.995,0.867,0.56541,0.2561,0.86152,0.0005744,0.0005744,0.0005744
74,588.402,0.61045,0.33258,0.90788,0.99969,1,0.995,0.86241,0.62924,0.26884,0.87505,0.0005546,0.0005546,0.0005546
75,595.986,0.5999,0.3361,0.89721,0.99966,1,0.995,0.87896,0.55675,0.25771,0.86498,0.0005348,0.0005348,0.0005348
76,603.665,0.5902,0.33295,0.90089,0.9996,1,0.995,0.88258,0.57437,0.26752,0.86228,0.000515,0.000515,0.000515
77,611.324,0.56793,0.31704,0.89212,0.99963,1,0.995,0.87668,0.57181,0.26553,0.86139,0.0004952,0.0004952,0.0004952
78,618.065,0.59006,0.33142,0.8993,0.99962,1,0.995,0.87425,0.56147,0.24947,0.86129,0.0004754,0.0004754,0.0004754
79,625.702,0.57337,0.31516,0.89929,0.99961,1,0.995,0.88106,0.55388,0.24427,0.86168,0.0004556,0.0004556,0.0004556
80,633.132,0.56637,0.31692,0.89871,0.99963,1,0.995,0.88759,0.55706,0.25717,0.86265,0.0004358,0.0004358,0.0004358
81,640.589,0.56819,0.31255,0.8989,0.99965,1,0.995,0.87441,0.59092,0.25851,0.88001,0.000416,0.000416,0.000416
82,648.458,0.56703,0.3165,0.89963,0.99964,1,0.995,0.87488,0.57849,0.25442,0.86247,0.0003962,0.0003962,0.0003962
83,655.961,0.58557,0.31602,0.90375,0.99775,1,0.995,0.87851,0.60121,0.26465,0.86754,0.0003764,0.0003764,0.0003764
84,663.418,0.57408,0.31335,0.8939,0.9939,1,0.995,0.8808,0.58257,0.26094,0.86372,0.0003566,0.0003566,0.0003566
85,670.766,0.57552,0.31017,0.89717,0.99512,1,0.995,0.88759,0.56373,0.26654,0.8569,0.0003368,0.0003368,0.0003368
86,677.907,0.56276,0.30478,0.89456,0.99476,1,0.995,0.89081,0.55836,0.25306,0.85878,0.000317,0.000317,0.000317
87,685.505,0.54936,0.29708,0.89369,0.99956,1,0.995,0.88798,0.55466,0.24505,0.85995,0.0002972,0.0002972,0.0002972
88,692.404,0.54954,0.29629,0.88381,0.99963,1,0.995,0.89179,0.53865,0.2425,0.85777,0.0002774,0.0002774,0.0002774
89,699.718,0.57258,0.30344,0.90433,0.99402,1,0.995,0.8891,0.5386,0.23919,0.86879,0.0002576,0.0002576,0.0002576
90,707.412,0.54194,0.29419,0.891,0.99962,1,0.995,0.88941,0.55804,0.24131,0.86573,0.0002378,0.0002378,0.0002378
