epoch,train_loss,val_loss,lr
1,2.8840902660574232,3.800204732201316,0.0008
2,2.6032656147366477,2.6679356314919214,0.0008
3,2.6463735671270463,2.558943423357877,0.0008
4,2.588967805817014,2.4379910339008677,0.0008
5,2.549312177158537,2.4887086261402476,0.0008
6,2.4490804218110585,2.407880761406638,0.0008
7,2.3264198359988986,2.172879999334162,0.0008
8,2.214025154000237,2.0773228732022373,0.0008
9,2.1810037124724615,2.3124180923808706,0.0008
10,2.1818371329988753,2.039960124275901,0.0008
11,2.1496208906173706,2.7142269394614478,0.0008
12,2.1592771269026256,2.051994562149048,0.0008
13,2.015065775031135,2.691819516095248,0.0008
14,1.9856916410582406,2.129018263383345,0.0008
15,1.8928200687680925,1.842156009240584,0.0008
16,1.8106513108525957,1.8756701079281894,0.0008
17,1.6439292885008312,2.4388640360398726,0.0008
18,1.4391675023805528,1.841275767846541,0.0008
19,1.078407973671953,1.7446198029951616,0.0008
20,0.8387790179944464,1.0775263742967085,0.0008
21,0.512403062411717,0.4371820715340701,0.0008
22,0.34564423330482985,0.7793480808084662,0.0008
23,0.22740993484677302,0.17972378365018152,0.0008
24,0.16646742213162638,0.19782386720180511,0.0008
25,0.1204086587143441,0.27291932702064514,0.0008
26,0.09338478074364719,0.12600794570012527,0.0008
27,0.07498550315254501,0.20250443572347815,0.0008
28,0.07201907056428138,1.0302013700658625,0.0008
29,0.06534002213517115,0.09088776023550467,0.0008
30,0.0637762255944489,0.054097397422248665,0.0008
31,0.05105205492249557,0.0850133423439481,0.0008
32,0.04547897089893619,0.14005049656737933,0.0008
33,0.06924798718786665,0.2460760853507302,0.0008
34,0.04590334181141641,0.15362964299592105,0.0008
35,0.030296943959824386,0.1269054693931883,0.0008
36,0.0181807853348021,0.0841870094564828,0.0008
37,0.01749075995758176,0.0948669912124222,0.0008
38,0.033677411088276474,0.1424713764678348,0.0008
39,0.018378699009883263,0.0976217879744416,0.00056
40,0.018397670643891962,0.07793280185962265,0.00056
41,0.014410422798911375,0.12986263006248258,0.00056
42,0.00975868375306683,0.13285782086578282,0.00056
43,0.009728870714925938,0.10949487374587492,0.00056
44,0.008993063738758099,0.10500719576058062,0.00056
45,0.007712513568722421,0.1182133209976283,0.00056
